	pseudo1	pseudo2	pseudo3	pseudo4	pseudo5	pseudo6	pseudo7	pseudo8
TNFSF10	1383	657	879	501	506	962	2258	1554
TNFSF13B	354	540	301	1133	164	107	792	1404
TPD52	2920	309	1897	627	3658	4824	1980	601
TPM1	6136	649	1644	354	4319	7343	12866	2156
TPM2	3582	727	140	74	72	371	2052	2017
TPSAB1	110	160	26655	5842	0	17	60	2
TPSB2	205	232	52965	9215	2	19	178	2
TRAC	680	1619	3174	2674	279	183	395	820
TRAF3IP3	126	232	675	697	37	59	156	178
TRBC1	266	1611	2261	1383	125	93	202	291
TRBC2	305	893	1697	1213	113	76	225	321
TRDC	30	91	69	242	40	23	11	24
TREM1	240	257	181	541	5069	1771	534	1684
TREM2	1522	1240	777	4266	134	511	2313	3381
TSC22D1	4409	1005	1148	1164	1694	3454	4151	1375
TSC22D3	2812	2618	3429	6714	3894	1431	5970	2995
TSPAN13	3911	166	5092	671	2354	22960	3782	3031
TSPAN7	100	68	52	115	123	34	279	39
TSPO	6837	2841	3877	5151	7758	10759	22214	7098
TUBA1A	4564	4081	1918	10008	1914	6577	5659	2521
TUBA1B	11714	5690	7860	12860	13635	13795	17002	13310
TUBA4A	1154	529	1807	849	11095	2267	1250	497
TWISTNB	472	311	466	493	1403	2524	1399	1566
TXNDC17	8677	1451	8656	1683	33586	9824	17860	6897
TYMP	2431	3674	2980	4638	3962	3938	10351	9537
TYROBP	6817	9938	9157	22305	1640	1495	16657	25693
UACA	228	352	17	85	254	1608	1378	261
UBE2J1	1429	509	995	762	1340	1543	1984	1263
UCP2	1820	1140	1349	1988	1968	955	7076	2581
UPK3B	3	0	1	0	149	20	1	2
VAMP2	2620	1002	1806	2128	2247	1212	3927	1659
VAMP5	2991	1751	1105	994	7273	592	2856	3080
VAPA	3428	1721	3394	3061	6499	8934	9273	4612
VCAN	661	791	1287	721	216	397	3828	3138
VIM	17095	21824	10196	35303	8375	9473	48893	39975
VPREB3	31	12	276	185	6	30	4	76
VSIG4	1686	6437	960	5265	60	324	3571	4505
VWA1	1656	300	680	387	4404	2482	2602	606
VWA5A	106	194	1612	365	66	259	577	92
VWF	146	96	49	6	77	126	1502	570
WARS	296	553	512	299	13998	458	1234	1013
WDR74	551	312	393	458	1473	1114	1048	504
WFDC2	49326	7	9226	134	13025	22030	89000	3804
WIPF1	486	661	534	1156	367	124	550	901
WSB1	4814	1411	5359	2256	28251	5537	5207	2994
WWTR1	346	171	241	136	979	1360	1913	410
XBP1	4917	1662	6484	2321	3545	21803	9732	3655
XCL1	7	93	65	110	53	2	35	20
YBX3	1486	1288	965	1301	3036	5234	9038	2790
YPEL5	3509	824	1651	2200	2498	1041	3779	1265
YWHAH	2157	1088	997	3470	1994	3505	7043	2773
ZFP36	6162	5904	4501	13269	2679	5423	20734	7918
ZFP36L1	6417	3020	5427	5250	49058	31679	12439	5446
ZFP36L2	5416	3436	2599	6555	3574	3375	9346	3127
ZNF331	709	856	584	1987	464	417	1638	1662
